Частота  Слово
   11     название
   9     Недопустимое
   8     Служебная
   6     Википедия
   6     Перейти
   5     страницы
   5     страница
   4     для
   4     Список
   4     Поиск
   4     Википедии
   3     Заглавная
   3     можно
   3     страницу
   2     май
   2     странице
   2     Навигация
   2     системе
   2     тную
   2     запись
   2     это
   2     Искать
   2     Найти
   2     заглавную
   2     Статьи
   2     Сообщить
   2     ошибке
   2     этой
   2     где
   2     Форум
   2     страниц
   2     Версия
   2     печати
   2     Описание
   2     Отказ
   2     ответственности
   1     январь
   1     февраль
   1     март
   1     апрель
   1     июнь
   1     июль
   1     август
   1     сентябрь
   1     октябрь
   1     ноябрь
   1     декабрь
   1     янв
   1     фев
   1     мар
   1     апр
   1     июн
   1     июл
   1     авг
   1     сен
   1     окт
   1     ноя
   1     дек
   1     русский
   1     лента
   1     навигации
   1     поиску
   1     Запрашиваемое
   1     содержит
   1     недопустимые
   1     символы
   1     Возврат
   1     Источник
   1     Персональные
   1     инструменты
   1     представились
   1     Страница
   1     обсуждений
   1     моего
   1     Обсуждение
   1     правок
   1     сделанных
   1     этого
   1     адреса
   1     Вклад
   1     предлагаем
   1     вам
   1     создать
   1     войти
   1     систему
   1     хотя
   1     обязательно
   1     Создать
   1     Здесь
   1     зарегистрироваться
   1     необязательно
   1     Войти
   1     Пространства
   1     Это
   1     служебная
   1     она
   1     недоступна
   1     редактирования
   1     Варианты
   1     Просмотры
   1     содержащие
   1     указанный
   1     текст
   1     имеющей
   1     точности
   1     такое
   1     категориям
   1     Рубрикация
   1     двум
   1     первым
   1     буквам
   1     Указатель
   1     считающиеся
   1     лучшими
   1     статьями
   1     проекта
   1     Избранные
   1     статьи
   1     Посмотреть
   1     случайно
   1     выбранную
   1     Случайная
   1     статья
   1     текущих
   1     событиях
   1     мире
   1     Текущие
   1     события
   1     Участие
   1     статье
   1     проекте
   1     том
   1     чем
   1     здесь
   1     заниматься
   1     также
   1     что
   1     находится
   1     Сообщество
   1     участников
   1     последних
   1     изменений
   1     Свежие
   1     правки
   1     недавно
   1     созданных
   1     Новые
   1     Место
   1     получить
   1     справку
   1     Справка
   1     Поддержите
   1     нас
   1     Пожертвовать
   1     Инструменты
   1     служебных
   1     Служебные
   1     других
   1     языках
   1     Политика
   1     конфиденциальности
   1     Контакты
   1     Свяжитесь
   1     нами
   1     Разработчики
   1     Заявление
   1     куки
   1     Мобильная
   1     версия
